file_id,path,first_seen,last_seen,commit_count,touches,bus_factor,sensitivity_score,sensitivity_tags
app/layout.tsx,app/layout.tsx,2026-02-17T09:48:38-07:00,2026-02-17T09:48:38-07:00,1,1,1,0.00,
app/page.tsx,app/page.tsx,2026-02-17T09:48:38-07:00,2026-02-17T09:48:38-07:00,1,1,1,0.00,
components/auth/user-menu.tsx,components/auth/user-menu.tsx,2026-02-17T19:03:59-07:00,2026-02-17T19:03:59-07:00,1,1,1,1.00,auth
docs/TechRequirements.md,docs/TechRequirements.md,2026-02-17T14:29:18-07:00,2026-02-18T06:34:58-07:00,2,2,1,0.00,
docs/ci-design.md,docs/ci-design.md,2026-02-16T12:44:38-07:00,2026-02-18T06:34:58-07:00,3,3,2,0.00,
docs/github-task-matrix.md,docs/github-task-matrix.md,2026-02-16T15:57:39-07:00,2026-02-17T14:29:18-07:00,3,3,2,0.00,
docs/github-workflow.md,docs/github-workflow.md,2026-02-16T12:14:00-07:00,2026-02-18T06:34:58-07:00,7,7,2,0.00,
docs/milestone-7-planning.md,docs/milestone-7-planning.md,2026-02-16T12:44:38-07:00,2026-02-18T06:34:58-07:00,3,3,2,0.00,
docs/performance-validation.md,docs/performance-validation.md,2026-02-16T12:44:49-07:00,2026-02-18T06:34:58-07:00,3,3,2,0.00,
docs/pr-checklist.md,docs/pr-checklist.md,2026-02-16T12:44:38-07:00,2026-02-18T06:34:58-07:00,4,4,2,0.00,
docs/prd.md,docs/prd.md,2026-02-17T14:29:18-07:00,2026-02-18T06:34:58-07:00,2,2,1,0.00,
docs/product-requirements.md,docs/product-requirements.md,2026-02-18T06:34:58-07:00,2026-02-18T06:34:58-07:00,1,1,1,0.00,
docs/tech-requirements.md,docs/tech-requirements.md,2026-02-18T06:34:58-07:00,2026-02-18T06:34:58-07:00,1,1,1,0.00,
eslint.config.mjs,eslint.config.mjs,2026-02-16T16:22:34-07:00,2026-02-16T16:22:34-07:00,1,1,1,0.00,
features/authz/permissions.ts,features/authz/permissions.ts,2026-02-17T19:07:29-07:00,2026-02-17T19:07:29-07:00,1,1,1,1.00,authz
features/catalog/components/wrap-catalog-detail.tsx,features/catalog/components/wrap-catalog-detail.tsx,2026-02-17T19:19:27-07:00,2026-02-17T19:19:27-07:00,1,1,1,0.00,
features/catalog/components/wrap-catalog-list.tsx,features/catalog/components/wrap-catalog-list.tsx,2026-02-17T19:19:27-07:00,2026-02-17T19:19:27-07:00,1,1,1,0.00,
features/catalog/types.ts,features/catalog/types.ts,2026-02-17T19:13:18-07:00,2026-02-17T19:13:18-07:00,1,1,1,0.00,
features/scheduling/compute-slots.ts,features/scheduling/compute-slots.ts,2026-02-17T19:31:35-07:00,2026-02-17T19:31:35-07:00,1,1,1,0.00,
features/visualizer/template-preview.ts,features/visualizer/template-preview.ts,2026-02-17T19:23:09-07:00,2026-02-17T19:23:09-07:00,1,1,1,0.00,
features/visualizer/upload-preview.ts,features/visualizer/upload-preview.ts,2026-02-17T19:27:22-07:00,2026-02-17T19:27:22-07:00,1,1,1,0.00,
global.d.ts,global.d.ts,2026-02-17T14:29:18-07:00,2026-02-17T14:29:18-07:00,1,1,1,0.00,
lib/server/actions/catalog/create-wrap-design.ts,lib/server/actions/catalog/create-wrap-design.ts,2026-02-17T19:13:18-07:00,2026-02-17T19:13:18-07:00,1,1,1,0.00,
lib/server/actions/catalog/delete-wrap-design.ts,lib/server/actions/catalog/delete-wrap-design.ts,2026-02-17T19:13:18-07:00,2026-02-17T19:13:18-07:00,1,1,1,0.00,
lib/server/actions/catalog/update-wrap-design.ts,lib/server/actions/catalog/update-wrap-design.ts,2026-02-17T19:13:18-07:00,2026-02-17T19:13:18-07:00,1,1,1,0.00,
lib/server/actions/create-booking.ts,lib/server/actions/create-booking.ts,2026-02-17T19:40:25-07:00,2026-02-17T19:40:25-07:00,1,1,1,0.00,
lib/server/actions/create-checkout-session.ts,lib/server/actions/create-checkout-session.ts,2026-02-17T20:01:45-07:00,2026-02-17T20:01:45-07:00,1,1,1,1.00,payments
lib/server/actions/create-invoice.ts,lib/server/actions/create-invoice.ts,2026-02-17T19:56:06-07:00,2026-02-17T19:56:06-07:00,1,1,1,1.00,billing
lib/server/actions/create-template-preview.ts,lib/server/actions/create-template-preview.ts,2026-02-17T19:23:09-07:00,2026-02-17T19:23:09-07:00,1,1,1,0.00,
lib/server/actions/create-upload-preview.ts,lib/server/actions/create-upload-preview.ts,2026-02-17T19:27:22-07:00,2026-02-17T20:15:21-07:00,2,2,1,0.00,
lib/server/auth/require-auth.ts,lib/server/auth/require-auth.ts,2026-02-17T19:03:59-07:00,2026-02-17T19:03:59-07:00,1,1,1,1.00,auth
lib/server/auth/require-permission.ts,lib/server/auth/require-permission.ts,2026-02-17T19:07:29-07:00,2026-02-17T19:07:29-07:00,1,1,1,1.00,auth
lib/server/db/prisma.ts,lib/server/db/prisma.ts,2026-02-17T18:59:33-07:00,2026-02-17T18:59:33-07:00,1,1,1,0.80,data_access
lib/server/fetchers/booking-store.ts,lib/server/fetchers/booking-store.ts,2026-02-17T19:40:25-07:00,2026-02-17T19:40:25-07:00,1,1,1,0.00,
lib/server/fetchers/catalog/get-public-wraps.ts,lib/server/fetchers/catalog/get-public-wraps.ts,2026-02-17T19:19:27-07:00,2026-02-17T19:19:27-07:00,1,1,1,0.00,
lib/server/fetchers/catalog/get-wrap-design.ts,lib/server/fetchers/catalog/get-wrap-design.ts,2026-02-17T19:13:18-07:00,2026-02-17T19:13:18-07:00,1,1,1,0.00,
lib/server/fetchers/catalog/list-wrap-designs.ts,lib/server/fetchers/catalog/list-wrap-designs.ts,2026-02-17T19:13:18-07:00,2026-02-17T19:13:18-07:00,1,1,1,0.00,
lib/server/fetchers/catalog/store.ts,lib/server/fetchers/catalog/store.ts,2026-02-17T19:13:18-07:00,2026-02-17T19:13:18-07:00,1,1,1,0.00,
lib/server/fetchers/get-availability.ts,lib/server/fetchers/get-availability.ts,2026-02-17T19:40:25-07:00,2026-02-17T19:40:25-07:00,1,1,1,0.00,
lib/server/fetchers/get-invoice.ts,lib/server/fetchers/get-invoice.ts,2026-02-17T19:56:06-07:00,2026-02-17T20:06:01-07:00,3,3,1,0.90,billing
